Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,mtr_out,Rs_TAIR_units,Rs_TAIR,Rs_annual_bahn,Rs_annual_bahn_err,labl,higherr,TAIR_LTM_dev,TAIR_dev
797,00:00.0,66,Kirita,NA,,BBL,Japan,,Minamata,1970,1,34.75,135.25,475,None,,NA,NA,Quercus spp.,Temperate,Forest,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,15.2,1455,NA,NA,NA,Soda lime,30,1,,1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,25,NA,NA,0,117,0.105,0,NA,NA,Positive,1.89,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,NA,NA,NA,NA,NA,NA,NA,NA,,0.25,-0.25,34.75,135.25,1846.03,13.11,1809,12.57,1970,FALSE,437.914609,2.764612294,1267.048913,0.2,NA,FALSE,2.09,NA
798,00:00.0,66,Kirita,NA,,BBL,Japan,,Nara,1964,1,34.69,135.83,590,None,,NA,NA,Quercus spp.,Temperate,Forest,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,16.1,2345,NA,NA,NA,Soda lime,30,1,,1272,NA,NA,NA,NA,NA,NA,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,25,NA,NA,0,117,0.105,0,NA,NA,Positive,2.21,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,NA,NA,NA,NA,NA,NA,NA,NA,,0.31,0.17,34.75,135.75,1391.17,14.77,1106.5,14.63,1964,FALSE,543.6599366,3.432196399,1574.847632,0.24,NA,FALSE,1.33,NA
799,00:00.0,66,Kirita,NA,,BBL,Japan,,Nara,1966.5,1,34.69,135.83,590,None,,NA,NA,Quercus spp.,Temperate,Forest,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,16.1,2345,NA,NA,NA,Soda lime,30,1,,1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,25,NA,NA,0,117,0.105,0,NA,NA,Positive,2.21,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,NA,NA,NA,NA,NA,NA,NA,NA,,0.31,0.17,34.75,135.75,1391.17,14.77,1483.1,14.53,1967,FALSE,537.9813719,3.396346876,1558.309883,0,NA,FALSE,1.33,NA
112,00:00.0,68,Kucera,NA,,BBL,USA,Missouri,UM Prairie Station,1969,1.8,38.95,-91.94,NA,None,,NA,NA,Andropogon gerardi; Andropogon scoparius,Temperate,Grassland,Natural,Deciduous,Aggrading,,Dry,NA,NA,NA,NA,NA,12.8,1000,NA,NA,NA,IRGA,2.5,1,Subtraction,457,NA,NA,NA,NA,NA,NA,NA,183,274,0.4,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential (ln2), ln(R)=a+b ln(T-c)",Positive,mg CO2/m2/hr,-3,39,NA,0.89,5,-1.66,2.2,-10,NA,NA,,3.21,4.59,3.08,2.44,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.05,-0.06,38.75,-91.75,987.89,12.78,1296.5,12.06,1969,FALSE,171.7921353,1.084546255,494.5528848,0.08,NA,FALSE,0.02,NA
3313,00:00.0,77,Froment,NA,Q01,BBL,Belgium,,Blois de Blaimont,1967,3,50.07,4.36,245,None,,NA,NA,Fagus sylvatica; Carpinus betulus; Quercus robur,Temperate,Forest,Unmanaged,Deciduous,Aggrading,,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alkali absorption,30,1,,160,NA,NA,1,275,0.1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/day,2,12,NA,0.58,10,654.18,165.7,0,NA,NA,Positive,0.61,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rs_annual estimated from figure,-0.07,-0.36,50.25,4.25,898.43,9.06,844.6,9.26,1967,FALSE,2188.562,0.575694668,261.6203764,0.64,NA,FALSE,NA,NA
3261,00:00.0,90,De Santo,NA,,BBL,Italy,,Monte Taburno,1972.5,1,41.13,14.65,1100,None,,NA,NA,Fagus sylvatica,Temperate,Forest,Natural,Deciduous,Mature,Brown earth,Dry,NA,NA,NA,NA,NA,7.9,2166,NA,NA,NA,Alkali absorption,30,1,,792,NA,NA,1.26,200,0.24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,1,15,NA,NA,5,49.72,7.06,0,NA,NA,Negative,0.76,2.42,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-0.13,0.35,41.25,14.75,788.68,13.57,782.9,13.2,1973,FALSE,142.912,0.902222177,411.0044386,0.48,NA,FALSE,5.67,NA
2462,00:00.0,109,Edwards,NA,,BBL,USA,Tennessee,Oak Ridge,1971,1,35.99,-84.29,NA,None,,NA,50,Liriodendron tulipifera,Temperate,Forest,Natural,Deciduous,Mature,Emory cherty silt loam,Dry,NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,IRGA,14,1,Extraction,1070,NA,NA,6.72,250,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Power, R=c T^2",Positive,g CO2/m2/day,-1,26,NA,0.94,0,0,0,0.044,NA,NA,,1.17,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.01,0.29,35.75,-84.25,1319.73,14.83,1338.5,15.02,1971,FALSE,9.9264176,2.61111574,1196.330857,0.12,NA,FALSE,1.53,NA
2417,00:00.0,142,Tesarova,NA,Q01,BBL,Czechoslovakia,,Lanzhot,1971,2,48.67,16.25,NA,None,,NA,NA,Alopecurus pratensis,Temperate,Grassland,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,9.3,709,NA,NA,NA,Soda lime,30,1,,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential (log1), log(R)=a+b(T-c)",Positive,g CO2/m2/day,8,22,NA,0.73,NA,0.324,0.041,0,NA,NA,Positive,1.43,NA,2.57,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645,NA,NA,NA,NA,NA,Estimated from figure in text.,0.33,-0.25,48.75,16.25,523.79,8.75,409.7,8.42,1971,FALSE,4.668958352,1.228156132,560.415155,0.32,NA,FALSE,0.55,NA
3311,00:00.0,143,De Santo,NA,,BBL,Italy,,Monte Taburno,1973,1.5,41.13,14.65,1100,None,,NA,90,Fagus sylvatica,Temperate,Forest,Unmanaged,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,7.9,2166,NA,NA,1959,Alkali absorption,15,1,,296,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,0,15,NA,0.68,5,61.27,7.04,0,NA,NA,Negative,0.83,2.15,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-0.13,0.35,41.25,14.75,788.68,13.57,782.9,13.2,1973,FALSE,154.198,0.973472174,443.6442019,0.5,NA,FALSE,5.67,NA
3312,00:00.0,143,De Santo,NA,,BBL,Italy,,Monte Taburno,1973,1.5,41.13,14.65,1000,None,,NA,70,Fagus sylvatica; Abies alba,Temperate,Forest,Unmanaged,Mixed,Mature,,Dry,NA,NA,NA,NA,NA,7.9,2166,NA,NA,1959,Alkali absorption,15,1,,333,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,0,15,NA,0.86,5,60.12,9.84,0,NA,NA,Negative,1,2.64,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-0.13,0.35,41.25,14.75,788.68,13.57,782.9,13.2,1973,FALSE,190.008,1.199545395,547.2902343,0.64,NA,FALSE,5.67,NA
